"","alpha","power","seltype","Ne","rec","mut","s1","s2","h","t","nsim","sim","t_ne","selalpha","pstar"
"164",0.01,0.16,"OD",20000,1e-08,1e-08,0.01,0.02,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.01_0.02_0.00_160000_NA_NA",8,0.03,0.33
"165",0.01,0.15,"SA",20000,1e-08,1e-08,0.01,0.02,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.01_0.02_0.25_160000_NA_NA",8,0.007525,0.17
"168",0.01,0.15,"AP",20000,1e-08,1e-08,0.5,0.5,0.5,160000,100,"0.01_AP_20000_1e-08_1e-08_0.50_0.50_0.50_160000_NA_NA",8,0.125,0.5
"169",0.01,0.14,"SA",20000,1e-08,1e-08,0.1,0.2,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.10_0.20_0.25_160000_NA_NA",8,0.0775,0.17
"172",0.01,0.14,"AP",20000,1e-08,1e-08,0.02,0.02,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.02_0.02_0.25_160000_NA_NA",8,0.02005,0.5
"173",0.01,0.13,"SA",20000,1e-08,1e-08,0.05,0.1,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.05_0.10_0.25_160000_NA_NA",8,0.038125,0.17
"176",0.01,0.13,"OD",20000,1e-08,1e-08,0.02,0.02,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.02_0.02_0.00_160000_NA_NA",8,0.04,0.5
"178",0.01,0.13,"AP",20000,1e-08,1e-08,0.01,0.02,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.01_0.02_0.25_160000_NA_NA",8,0.015025,0.17
"179",0.01,0.12,"SA",20000,1e-08,1e-08,0.01,0.01,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.01_0.01_0.25_160000_NA_NA",8,0.0050125,0.5
"180",0.01,0.11,"SA",20000,1e-08,1e-08,0.05,0.05,0.5,160000,100,"0.01_SA_20000_1e-08_1e-08_0.05_0.05_0.50_160000_NA_NA",8,0.00125,0.5
"202",0.01,0.04,"SA",20000,1e-08,1e-08,0.2,0.5,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.20_0.50_0.25_160000_NA_NA",8,0.1875,0.07
"210",0.01,0.04,"AP",20000,1e-08,1e-08,0.05,0.05,0.5,160000,100,"0.01_AP_20000_1e-08_1e-08_0.05_0.05_0.50_160000_NA_NA",8,0.00125,0.5
"212",0.01,0.03,"SA",20000,1e-08,1e-08,0.5,0.2,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.50_0.20_0.25_160000_NA_NA",8,0.1875,0.07
