"pstar","seltype_recoded","selalpha","pred_power"
0.32,"SA",0.05,0.0652861646880547
0.33,"SA",0.05,0.069695995440396
0.34,"SA",0.05,0.0743799905692772
0.35,"SA",0.05,0.0793519278568823
0.36,"SA",0.05,0.0846258293194834
0.37,"SA",0.05,0.0902158981610096
0.38,"SA",0.05,0.0961364450866767
0.39,"SA",0.05,0.102401803287167
0.4,"SA",0.05,0.10902623149345
0.41,"SA",0.05,0.116023804626061
0.42,"SA",0.05,0.123408291724605
0.43,"SA",0.05,0.131193021047006
0.44,"SA",0.05,0.139390732476371
0.45,"SA",0.05,0.14801341766806
0.46,"SA",0.05,0.157072148710559
0.47,"SA",0.05,0.166576896459456
0.48,"SA",0.05,0.176536340129616
0.49,"SA",0.05,0.186957670189715
0.5,"SA",0.05,0.197846387085141
0,"SA",0.2,0.0147082953729419
0.01,"SA",0.2,0.0156107492039376
0.02,"SA",0.2,0.016567643634982
0.03,"SA",0.2,0.0175821453338844
0.04,"SA",0.2,0.01865759037328
0.05,"SA",0.2,0.0197974914160562
0.06,"SA",0.2,0.0210055449571661
0.07,"SA",0.2,0.0222856385828792
0.08,"SA",0.2,0.0236418582020504
0.09,"SA",0.2,0.0250784951968606
0.1,"SA",0.2,0.0266000534326299
0.11,"SA",0.2,0.0282112560577199
0.12,"SA",0.2,0.0299170520151889
0.13,"SA",0.2,0.0317226221777227
0.14,"SA",0.2,0.0336333850064363
0.15,"SA",0.2,0.0356550016224303
0.16,"SA",0.2,0.0377933801675136
0.17,"SA",0.2,0.0400546793173257
0.18,"SA",0.2,0.0424453107962634
0.19,"SA",0.2,0.0449719407292574
0.2,"SA",0.2,0.0476414896506785
0.21,"SA",0.2,0.0504611309756587
0.22,"SA",0.2,0.0534382877241235
0.23,"SA",0.2,0.0565806272731152
0.24,"SA",0.2,0.0598960538988833
0.25,"SA",0.2,0.0633926988571274
0.26,"SA",0.2,0.0670789077381725
0.27,"SA",0.2,0.0709632248242773
0.28,"SA",0.2,0.0750543741693452
0.29,"SA",0.2,0.0793612371177301
0.3,"SA",0.2,0.0838928259793686
0.31,"SA",0.2,0.0886582535839867
0.32,"SA",0.2,0.0936666984485174
0.33,"SA",0.2,0.0989273653100962
0.34,"SA",0.2,0.104449440803044
0.35,"SA",0.2,0.110242044093099
0.36,"SA",0.2,0.116314172326767
0.37,"SA",0.2,0.122674640808915
0.38,"SA",0.2,0.129332017888382
0.39,"SA",0.2,0.136294554609992
0.4,"SA",0.2,0.143570109282324
0.41,"SA",0.2,0.151166067213835
0.42,"SA",0.2,0.159089255985197
0.43,"SA",0.2,0.167345856752057
0.44,"SA",0.2,0.175941312208602
0.45,"SA",0.2,0.18488023198624
0.46,"SA",0.2,0.194166296410881
0.47,"SA",0.2,0.203802159693324
0.48,"SA",0.2,0.213789353776256
0.49,"SA",0.2,0.224128194203616
0.5,"SA",0.2,0.234817689508394
0,"SA",0.625,0.0978307871425011
0.01,"SA",0.625,0.100799223468397
0.02,"SA",0.625,0.103847361926782
0.03,"SA",0.625,0.106976709271186
0.04,"SA",0.625,0.110188761787971
0.05,"SA",0.625,0.113485002404263
0.06,"SA",0.625,0.116866897650906
0.07,"SA",0.625,0.120335894480354
0.08,"SA",0.625,0.12389341694004
0.09,"SA",0.625,0.127540862702471
0.1,"SA",0.625,0.131279599454051
0.11,"SA",0.625,0.135110961145461
0.12,"SA",0.625,0.139036244107275
0.13,"SA",0.625,0.143056703035429
0.14,"SA",0.625,0.147173546852146
0.15,"SA",0.625,0.151387934448921
0.16,"SA",0.625,0.155700970319284
0.17,"SA",0.625,0.160113700090139
0.18,"SA",0.625,0.164627105961669
0.19,"SA",0.625,0.16924210206697
0.2,"SA",0.625,0.173959529763809
0.21,"SA",0.625,0.178780152872113
0.22,"SA",0.625,0.183704652872097
0.23,"SA",0.625,0.188733624079131
0.24,"SA",0.625,0.193867568812725
0.25,"SA",0.625,0.199106892578229
0.26,"SA",0.625,0.204451899281032
0.27,"SA",0.625,0.209902786494185
0.28,"SA",0.625,0.21545964080147
0.29,"SA",0.625,0.221122433238955
0.3,"SA",0.625,0.226891014858988
0.31,"SA",0.625,0.232765112441427
0.32,"SA",0.625,0.238744324377607
0.33,"SA",0.625,0.244828116753099
0.34,"SA",0.625,0.25101581965579
0.35,"SA",0.625,0.257306623736017
0.36,"SA",0.625,0.263699577045631
0.37,"SA",0.625,0.270193582182717
0.38,"SA",0.625,0.276787393768431
0.39,"SA",0.625,0.283479616281848
0.4,"SA",0.625,0.290268702278021
0.41,"SA",0.625,0.297152951013425
0.42,"SA",0.625,0.304130507501802
0.43,"SA",0.625,0.311199362021931
0.44,"SA",0.625,0.318357350097175
0.45,"SA",0.625,0.325602152964751
0.46,"SA",0.625,0.332931298550482
0.47,"SA",0.625,0.340342162962426
0.48,"SA",0.625,0.347831972514207
0.49,"SA",0.625,0.35539780628604
0.5,"SA",0.625,0.363036599228539
