alpha power seltype Ne rec mut s1 s2 h t nsim
0.01 0.81 OD 2000 1e-8 1e-8 0.02 0.01 0 160000 100
0.01 0.7 OD 2000 1e-8 1e-8 1 1 0 160000 100
0.01 0.7 OD 2000 1e-8 1e-8 0.5 1 0 160000 100
0.01 0.7 OD 2000 1e-7 1e-7 0.2 0.1 0 320000 100
0.01 0.7 OD 2000 1e-7 1e-7 0.02 0.1 0 160000 100
0.01 0.7 OD 2000 1e-7 1e-7 0.01 0.02 0 320000 100
0.01 0.79 OD 2000 1e-8 1e-8 1 0.1 0 160000 100
0.01 0.79 OD 2000 1e-8 1e-8 0.2 0.5 0 160000 100
0.01 0.79 OD 2000 1e-7 1e-7 0.1 0.1 0 160000 100
0.01 0.78 OD 2000 1e-7 1e-7 0.02 0.01 0 320000 100
0.01 0.789473684210526 OD 2000 1e-8 1e-8 0.05 0.01 0 160000 19
0.01 0.77 OD 2000 1e-8 1e-8 0.1 0.05 0 160000 100
0.01 0.77 OD 2000 1e-7 1e-7 0.1 0.1 0 160000 100
0.01 0.76 OD 2000 1e-8 1e-8 1 0.2 0 160000 100
0.01 0.769230769230769 OD 2000 1e-7 1e-7 0.05 0.01 0 160000 26
0.01 0.75 OD 2000 1e-7 1e-7 0.2 0.2 0 160000 100
0.01 0.75 OD 2000 1e-7 1e-7 0.02 0.02 0 160000 100
0.01 0.75 OD 2000 1e-7 1e-7 0.01 0.01 0 160000 100
0.01 0.74 OD 2000 1e-8 1e-8 1 0.5 0 160000 100
0.01 0.74 OD 2000 1e-8 1e-8 0.1 1 0 160000 100
0.01 0.73 OD 2000 1e-8 1e-8 0.5 0.1 0 160000 100
0.01 0.73 OD 2000 1e-7 1e-7 0.2 0.1 0 160000 100
0.01 0.73 OD 2000 1e-7 1e-7 0.05 0.05 0 320000 100
0.01 0.72 OD 2000 1e-7 1e-7 0.02 0.05 0 160000 100
0.01 0.72 OD 2000 1e-7 1e-7 0.02 0.02 0 320000 100
0.01 0.71 OD 2000 1e-7 1e-7 0.1 0.1 0 320000 100
0.01 0.71 OD 2000 1e-7 1e-7 0.02 0.1 0 320000 100
0.01 0.71 OD 2000 1e-7 1e-7 0.02 0.01 0 160000 100
0.01 0.71 OD 2000 1e-7 1e-7 0.01 0.01 0 320000 100
0.01 0.6 OD 2000 1e-7 1e-7 0.2 1 0 320000 100
0.01 0.69 OD 2000 1e-7 1e-7 0.2 0.2 0 320000 100
0.01 0.69 OD 2000 1e-7 1e-7 0.1 0.05 0 160000 100
0.01 0.68 OD 2000 1e-7 1e-7 0.2 0.5 0 320000 100
0.01 0.68 OD 2000 1e-7 1e-7 0.02 0.05 0 320000 100
0.01 0.67 OD 2000 1e-7 1e-7 0.1 0.2 0 160000 100
0.01 0.67 OD 2000 1e-7 1e-7 0.1 0.02 0 320000 100
0.01 0.67 OD 2000 1e-7 1e-7 0.05 0.1 0 160000 100
0.01 0.675324675324675 OD 2000 1e-8 1e-7 0.01 0.01 0 32000 77
0.01 0.66 OD 2000 1e-7 1e-7 0.1 0.2 0 320000 100
0.01 0.66 OD 2000 1e-7 1e-7 0.05 0.02 0 320000 100
0.01 0.66 OD 2000 1e-7 1e-7 0.01 0.02 0 160000 100
