alpha power seltype Ne rec mut s1 s2 h t nsim
0.01 0.17 OD 20000 1e-8 1e-8 1 0.5 0 160000 100
0.01 0.17 OD 20000 1e-8 1e-8 0.5 1 0 160000 100
0.01 0.17 OD 20000 1e-8 1e-8 0.02 0.1 0 160000 100
0.01 0.17 AP 20000 1e-8 1e-8 0.1 0.1 0.5 160000 100
0.01 0.17 AP 20000 1e-8 1e-8 0.1 0.1 0.25 160000 100
0.01 0.178217821782178 OD 20000 1e-8 1e-8 0.5 0.5 0 160000 101
0.01 0.16 OD 20000 1e-8 1e-8 0.2 0.5 0 160000 100
0.01 0.16 OD 20000 1e-8 1e-8 0.02 0.05 0 160000 100
0.01 0.16 OD 20000 1e-8 1e-8 0.01 0.02 0 160000 100
0.01 0.15 SA 20000 1e-8 1e-8 0.01 0.02 0.25 160000 100
0.01 0.15 OD 2000 1e-8 1e-8 0.02 0.05 0 16000 100
0.01 0.15 OD 2000 1e-8 1e-8 0.02 0.02 0 16000 100
0.01 0.15 AP 20000 1e-8 1e-8 0.5 0.5 0.5 160000 100
0.01 0.14 SA 20000 1e-8 1e-8 0.1 0.2 0.25 160000 100
0.01 0.14 OD 2000 1e-8 1e-8 0.2 0.1 0 16000 100
0.01 0.14 OD 2000 1e-8 1e-8 0.01 0.01 0 16000 100
0.01 0.14 AP 20000 1e-8 1e-8 0.02 0.02 0.25 160000 100
0.01 0.13 SA 20000 1e-8 1e-8 0.05 0.1 0.25 160000 100
0.01 0.13 OD 2000 1e-8 1e-8 1 0.5 0 16000 100
0.01 0.13 OD 2000 1e-8 1e-8 0.1 0.05 0 16000 100
0.01 0.13 OD 20000 1e-8 1e-8 0.02 0.02 0 160000 100
0.01 0.13 OD 20000 1e-8 1e-7 0.2 0.5 0 160000 100
0.01 0.13 AP 20000 1e-8 1e-8 0.01 0.02 0.25 160000 100
0.01 0.12 SA 20000 1e-8 1e-8 0.01 0.01 0.25 160000 100
0.01 0.11 SA 20000 1e-8 1e-8 0.05 0.05 0.5 160000 100
0.01 0.11 OD 2000 1e-8 1e-8 0.05 0.1 0 16000 100
0.01 0.09 OD 20000 1e-7 1e-8 0.1 1 0 160000 100
0.01 0.09 OD 20000 1e-7 1e-8 0.02 0.1 0 160000 100
0.01 0.08 OD 20000 1e-7 1e-8 0.2 0.2 0 160000 100
0.01 0.08 OD 20000 1e-7 1e-8 0.1 0.02 0 160000 100
0.01 0.08 OD 20000 1e-7 1e-8 0.05 0.02 0 160000 100
0.01 0.07 OD 20000 1e-7 1e-8 1 1 0 160000 100
0.01 0.07 OD 20000 1e-7 1e-8 0.5 0.1 0 160000 100
0.01 0.07 OD 20000 1e-7 1e-8 0.02 0.02 0 160000 100
0.01 0.07 OD 20000 1e-7 1e-8 0.02 0.01 0 160000 100
0.01 0.06 OD 2000 1e-8 1e-8 0.01 0.02 0 16000 100
0.01 0.06 OD 20000 1e-7 1e-8 0.5 0.2 0 160000 100
0.01 0.06 OD 20000 1e-7 1e-8 0.2 1 0 160000 100
0.01 0.06 OD 20000 1e-7 1e-8 0.2 0.1 0 160000 100
0.01 0.06 OD 20000 1e-7 1e-8 0.01 0.02 0 160000 100
0.01 0.0693069306930693 OD 20000 1e-7 1e-8 0.1 0.1 0 160000 101
0.01 0.05 OD 20000 1e-7 1e-8 1 0.2 0 160000 100
0.01 0.05 OD 20000 1e-7 1e-8 0.1 0.5 0 160000 100
0.01 0.05 OD 20000 1e-7 1e-8 0.1 0.2 0 160000 100
0.01 0.05 OD 20000 1e-7 1e-8 0.05 0.1 0 160000 100
0.01 0.05 OD 20000 1e-7 1e-8 0.01 0.05 0 160000 100
0.01 0.04 SA 20000 1e-8 1e-8 0.2 0.5 0.25 160000 100
0.01 0.04 OD 20000 1e-7 1e-8 1 0.5 0 160000 100
