alpha power seltype Ne rec mut s1 s2 t
0.25 0.981818181818182 OD 2 1e-8 1e-8 0.01 0.02 320000
alpha power seltype Ne rec mut s1 s2 t
0.01 0.254545454545455 OD 2 1e-8 1e-8 0.01 0.02 32000
0.02 0.309090909090909 OD 2 1e-8 1e-8 0.01 0.02 32000
0.03 0.418181818181818 OD 2 1e-8 1e-8 0.01 0.02 32000
0.04 0.418181818181818 OD 2 1e-8 1e-8 0.01 0.02 32000
0.05 0.472727272727273 OD 2 1e-8 1e-8 0.01 0.02 32000
0.06 0.490909090909091 OD 2 1e-8 1e-8 0.01 0.02 32000
0.07 0.509090909090909 OD 2 1e-8 1e-8 0.01 0.02 32000
0.08 0.527272727272727 OD 2 1e-8 1e-8 0.01 0.02 32000
0.09 0.563636363636364 OD 2 1e-8 1e-8 0.01 0.02 32000
0.1 0.618181818181818 OD 2 1e-8 1e-8 0.01 0.02 32000
0.11 0.654545454545455 OD 2 1e-8 1e-8 0.01 0.02 32000
0.12 0.654545454545455 OD 2 1e-8 1e-8 0.01 0.02 32000
0.13 0.654545454545455 OD 2 1e-8 1e-8 0.01 0.02 32000
0.14 0.654545454545455 OD 2 1e-8 1e-8 0.01 0.02 32000
0.15 0.654545454545455 OD 2 1e-8 1e-8 0.01 0.02 32000
0.16 0.654545454545455 OD 2 1e-8 1e-8 0.01 0.02 32000
0.17 0.672727272727273 OD 2 1e-8 1e-8 0.01 0.02 32000
0.18 0.672727272727273 OD 2 1e-8 1e-8 0.01 0.02 32000
0.19 0.672727272727273 OD 2 1e-8 1e-8 0.01 0.02 32000
0.2 0.672727272727273 OD 2 1e-8 1e-8 0.01 0.02 32000
0.21 0.690909090909091 OD 2 1e-8 1e-8 0.01 0.02 32000
0.22 0.690909090909091 OD 2 1e-8 1e-8 0.01 0.02 32000
0.23 0.690909090909091 OD 2 1e-8 1e-8 0.01 0.02 32000
0.24 0.709090909090909 OD 2 1e-8 1e-8 0.01 0.02 32000
0.25 0.709090909090909 OD 2 1e-8 1e-8 0.01 0.02 32000
alpha power seltype Ne rec mut s1 s2 t
0.01 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.02 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.03 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.04 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.05 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.06 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.07 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.08 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.09 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.1 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.11 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.12 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.13 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.14 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.15 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.16 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.17 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.18 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.19 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.2 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.21 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.22 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.23 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.24 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
0.25 0.888888888888889 OD 2 1e-8 1e-8 0.01 0.05 160000
alpha power seltype Ne rec mut s1 s2 t
0.01 0.0888888888888889 OD 2 1e-8 1e-8 0.01 0.05 16000
0.02 0.111111111111111 OD 2 1e-8 1e-8 0.01 0.05 16000
0.03 0.133333333333333 OD 2 1e-8 1e-8 0.01 0.05 16000
0.04 0.177777777777778 OD 2 1e-8 1e-8 0.01 0.05 16000
0.05 0.222222222222222 OD 2 1e-8 1e-8 0.01 0.05 16000
0.06 0.266666666666667 OD 2 1e-8 1e-8 0.01 0.05 16000
0.07 0.311111111111111 OD 2 1e-8 1e-8 0.01 0.05 16000
0.08 0.333333333333333 OD 2 1e-8 1e-8 0.01 0.05 16000
0.09 0.377777777777778 OD 2 1e-8 1e-8 0.01 0.05 16000
0.1 0.377777777777778 OD 2 1e-8 1e-8 0.01 0.05 16000
0.11 0.377777777777778 OD 2 1e-8 1e-8 0.01 0.05 16000
0.12 0.4 OD 2 1e-8 1e-8 0.01 0.05 16000
0.13 0.4 OD 2 1e-8 1e-8 0.01 0.05 16000
0.14 0.488888888888889 OD 2 1e-8 1e-8 0.01 0.05 16000
0.15 0.511111111111111 OD 2 1e-8 1e-8 0.01 0.05 16000
0.16 0.511111111111111 OD 2 1e-8 1e-8 0.01 0.05 16000
0.17 0.511111111111111 OD 2 1e-8 1e-8 0.01 0.05 16000
0.18 0.511111111111111 OD 2 1e-8 1e-8 0.01 0.05 16000
0.19 0.533333333333333 OD 2 1e-8 1e-8 0.01 0.05 16000
0.2 0.6 OD 2 1e-8 1e-8 0.01 0.05 16000
0.21 0.666666666666667 OD 2 1e-8 1e-8 0.01 0.05 16000
0.22 0.666666666666667 OD 2 1e-8 1e-8 0.01 0.05 16000
0.23 0.666666666666667 OD 2 1e-8 1e-8 0.01 0.05 16000
0.24 0.666666666666667 OD 2 1e-8 1e-8 0.01 0.05 16000
0.25 0.688888888888889 OD 2 1e-8 1e-8 0.01 0.05 16000
alpha power seltype Ne rec mut s1 s2 t
0.01 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.02 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.03 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.04 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.05 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.06 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.07 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.08 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.09 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.1 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.11 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.12 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.13 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.14 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.15 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.16 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.17 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.18 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.19 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.2 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.21 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.22 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.23 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.24 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
0.25 NaN OD 2 1e-8 1e-8 0.01 0.05 320000
alpha power seltype Ne rec mut s1 s2 t
0.01 0.235294117647059 OD 2 1e-8 1e-8 0.01 0.05 32000
0.02 0.294117647058824 OD 2 1e-8 1e-8 0.01 0.05 32000
0.03 0.411764705882353 OD 2 1e-8 1e-8 0.01 0.05 32000
0.04 0.5 OD 2 1e-8 1e-8 0.01 0.05 32000
0.05 0.588235294117647 OD 2 1e-8 1e-8 0.01 0.05 32000
0.06 0.588235294117647 OD 2 1e-8 1e-8 0.01 0.05 32000
0.07 0.647058823529412 OD 2 1e-8 1e-8 0.01 0.05 32000
0.08 0.676470588235294 OD 2 1e-8 1e-8 0.01 0.05 32000
0.09 0.705882352941177 OD 2 1e-8 1e-8 0.01 0.05 32000
0.1 0.705882352941177 OD 2 1e-8 1e-8 0.01 0.05 32000
0.11 0.764705882352941 OD 2 1e-8 1e-8 0.01 0.05 32000
0.12 0.764705882352941 OD 2 1e-8 1e-8 0.01 0.05 32000
0.13 0.794117647058823 OD 2 1e-8 1e-8 0.01 0.05 32000
0.14 0.794117647058823 OD 2 1e-8 1e-8 0.01 0.05 32000
0.15 0.823529411764706 OD 2 1e-8 1e-8 0.01 0.05 32000
0.16 0.852941176470588 OD 2 1e-8 1e-8 0.01 0.05 32000
0.17 0.852941176470588 OD 2 1e-8 1e-8 0.01 0.05 32000
0.18 0.852941176470588 OD 2 1e-8 1e-8 0.01 0.05 32000
0.19 0.852941176470588 OD 2 1e-8 1e-8 0.01 0.05 32000
0.2 0.852941176470588 OD 2 1e-8 1e-8 0.01 0.05 32000
0.21 0.852941176470588 OD 2 1e-8 1e-8 0.01 0.05 32000
0.22 0.852941176470588 OD 2 1e-8 1e-8 0.01 0.05 32000
0.23 0.852941176470588 OD 2 1e-8 1e-8 0.01 0.05 32000
0.24 0.852941176470588 OD 2 1e-8 1e-8 0.01 0.05 32000
0.25 0.882352941176471 OD 2 1e-8 1e-8 0.01 0.05 32000
alpha power seltype Ne rec mut s1 s2 t
0.01 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
0.02 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
0.03 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
0.04 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
0.05 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
0.06 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
0.07 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
0.08 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
0.09 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
0.1 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
0.11 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
0.12 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
0.13 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
0.14 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
