alpha power seltype Ne rec mut s1 s2 h t nsim tf
0.1 0.95 OD 2000 1e-7 1e-7 0.05 0.05 0 160000 100 0.5
0.1 0.95 OD 2000 1e-7 1e-7 0.02 0.05 0 320000 100 0.2857143
0.1 0.95 OD 2000 1e-7 1e-7 0.02 0.02 0 320000 100 0.5
0.1 0.959183673469388 OD 2000 1e-8 1e-8 1 0.5 0 160000 98 0.3333333
0.1 0.959183673469388 OD 2000 1e-8 1e-8 0.1 0.1 0 160000 98 0.5
0.1 0.94 OD 2000 1e-8 1e-7 0.5 0.2 0 32000 100 0.5
0.1 0.94 OD 2000 1e-8 1e-7 0.2 0.5 0 32000 100 0.2857143
0.1 0.94 OD 2000 1e-8 1e-7 0.02 0.1 0 160000 100 0.1666667
0.1 0.94 OD 2000 1e-8 1e-7 0.02 0.05 0 32000 100 0.2857143
0.1 0.94 OD 2000 1e-8 1e-7 0.02 0.01 0 32000 100 0.3333333
0.1 0.94 OD 2000 1e-8 1e-7 0.01 0.02 0 32000 100 0.5
0.1 0.94 OD 2000 1e-7 1e-7 1 0.5 0 320000 100 0.5
0.1 0.94 OD 2000 1e-7 1e-7 1 0.5 0 320000 100 0.3333333
0.1 0.94 OD 2000 1e-7 1e-7 0.5 0.2 0 160000 100 0.2857143
0.1 0.94 OD 2000 1e-7 1e-7 0.2 0.1 0 320000 100 0.5
0.1 0.94 OD 2000 1e-7 1e-7 0.2 0.1 0 160000 100 0.3333333
0.1 0.94 OD 2000 1e-7 1e-7 0.1 0.1 0 160000 100 0.5
0.1 0.94 OD 2000 1e-7 1e-7 0.1 0.05 0 320000 100 0.5
0.1 0.94 OD 20000 1e-8 1e-7 0.05 0.05 0 320000 100 0.5
0.1 0.94949494949495 OD 2000 1e-8 1e-8 0.1 0.05 0 320000 99 0.3333333
0.1 0.94949494949495 OD 2000 1e-8 1e-8 0.05 0.05 0 160000 99 0.5
0.1 0.94949494949495 OD 2000 1e-8 1e-8 0.02 0.02 0 320000 99 0.5
0.1 0.948979591836735 OD 2000 1e-8 1e-8 1 0.5 0 320000 98 0.3333333
0.1 0.948979591836735 OD 2000 1e-8 1e-8 1 0.5 0 160000 98 0.5
0.1 0.946808510638298 OD 2000 1e-8 1e-8 1 1 0 160000 94 0.5
0.1 0.940594059405941 OD 20000 1e-8 1e-7 0.1 0.1 0 320000 101 0.5
0.1 0.93 OD 2000 1e-8 1e-8 0.1 0.2 0 160000 100 0.5
0.1 0.93 OD 2000 1e-8 1e-8 0.1 0.02 0 320000 100 0.1666667
0.1 0.93 OD 2000 1e-8 1e-8 0.05 0.1 0 160000 100 0.5
0.1 0.93 OD 2000 1e-8 1e-8 0.02 0.02 0 160000 100 0.5
0.1 0.93 OD 2000 1e-7 1e-7 0.5 0.2 0 320000 100 0.2857143
0.1 0.93 OD 2000 1e-7 1e-7 0.2 0.2 0 320000 100 0.5
0.1 0.93 OD 2000 1e-7 1e-7 0.2 0.1 0 160000 100 0.5
0.1 0.93 OD 2000 1e-7 1e-7 0.1 0.2 0 320000 100 0.5
0.1 0.93 OD 2000 1e-7 1e-7 0.1 0.2 0 320000 100 0.3333333
0.1 0.93 OD 2000 1e-7 1e-7 0.02 0.02 0 160000 100 0.5
0.1 0.93 OD 2000 1e-7 1e-7 0.01 0.02 0 320000 100 0.3333333
0.1 0.93 OD 2000 1e-7 1e-7 0.01 0.02 0 160000 100 0.3333333
0.1 0.93 OD 20000 1e-8 1e-7 0.5 1 0 320000 100 0.3333333
0.1 0.93 OD 20000 1e-8 1e-7 0.02 0.02 0 320000 100 0.5
0.1 0.939393939393939 OD 2000 1e-8 1e-8 0.5 1 0 320000 99 0.5
0.1 0.939393939393939 OD 2000 1e-8 1e-8 0.5 1 0 320000 99 0.3333333
0.1 0.938775510204082 OD 2000 1e-8 1e-8 1 0.5 0 320000 98 0.5
0.1 0.92 OD 2000 1e-8 1e-8 0.5 1 0 160000 100 0.5
0.1 0.92 OD 2000 1e-8 1e-8 0.05 0.1 0 320000 100 0.3333333
0.1 0.92 OD 2000 1e-8 1e-8 0.05 0.1 0 160000 100 0.3333333
0.1 0.92 OD 2000 1e-7 1e-7 1 0.5 0 160000 100 0.5
0.1 0.92 OD 2000 1e-7 1e-7 1 0.5 0 160000 100 0.3333333
0.1 0.92 OD 2000 1e-7 1e-7 0.1 0.1 0 160000 100 0.5
0.1 0.92 OD 2000 1e-7 1e-7 0.1 0.05 0 160000 100 0.3333333
0.1 0.92 OD 2000 1e-7 1e-7 0.05 0.1 0 160000 100 0.5
0.1 0.92 OD 2000 1e-7 1e-7 0.05 0.02 0 320000 100 0.2857143
0.1 0.92 OD 2000 1e-7 1e-7 0.01 0.01 0 320000 100 0.5
0.1 0.92 OD 20000 1e-8 1e-7 0.5 1 0 320000 100 0.5
0.1 0.92 OD 20000 1e-8 1e-7 0.1 0.1 0 320000 100 0.5
0.1 0.92 OD 20000 1e-8 1e-7 0.02 0.05 0 320000 100 0.2857143
0.1 0.927835051546392 OD 2000 1e-8 1e-8 0.2 0.1 0 160000 97 0.5
0.1 0.91 OD 2000 1e-8 1e-8 0.05 0.1 0 320000 100 0.5
0.1 0.91 OD 2000 1e-8 1e-7 0.2 0.5 0 32000 100 0.5
0.1 0.91 OD 2000 1e-8 1e-7 0.05 0.02 0 32000 100 0.5
0.1 0.91 OD 2000 1e-8 1e-7 0.02 0.01 0 32000 100 0.5
0.1 0.91 OD 2000 1e-7 1e-7 0.5 1 0 320000 100 0.3333333
0.1 0.91 OD 2000 1e-7 1e-7 0.2 0.5 0 320000 100 0.2857143
0.1 0.91 OD 2000 1e-7 1e-7 0.1 0.05 0 160000 100 0.5
0.1 0.91 OD 2000 1e-7 1e-7 0.05 0.02 0 160000 100 0.2857143
0.1 0.91 OD 2000 1e-7 1e-7 0.01 0.02 0 320000 100 0.5
0.1 0.91 OD 20000 1e-8 1e-7 0.01 0.01 0 320000 100 0.5
0.1 0.919191919191919 OD 2000 1e-8 1e-8 0.1 0.5 0 320000 99 0.1666667
0.1 0.919191919191919 OD 2000 1e-8 1e-8 0.1 0.05 0 320000 99 0.5
0.1 0.919191919191919 OD 2000 1e-8 1e-8 0.01 0.01 0 160000 99 0.5
0.1 0.917525773195876 OD 2000 1e-8 1e-8 0.2 0.1 0 160000 97 0.3333333
0.1 0.909090909090909 OD 2000 1e-8 1e-8 0.1 0.2 0 320000 99 0.5
0.1 0.909090909090909 OD 2000 1e-8 1e-8 0.1 0.2 0 320000 99 0.3333333
0.1 0.909090909090909 OD 2000 1e-8 1e-8 0.1 0.2 0 160000 99 0.3333333
0.1 0.907216494845361 OD 2000 1e-8 1e-8 0.02 0.1 0 320000 97 0.1666667
0.1 0.900990099009901 OD 20000 1e-8 1e-8 1 1 0 320000 101 0.5
0.1 0.8 OD 2000 1e-8 1e-8 0.2 0.5 0 160000 100 0.5
0.1 0.8 OD 2000 1e-8 1e-7 0.05 0.05 0 16000 100 0.5
0.1 0.8 OD 2000 1e-8 1e-7 0.02 0.05 0 32000 100 0.5
0.1 0.8 OD 20000 1e-8 1e-8 0.2 0.2 0 320000 100 0.5
0.1 0.8 OD 20000 1e-8 1e-8 0.05 0.05 0 320000 100 0.5
0.1 0.8 OD 20000 1e-8 1e-7 1 0.5 0 320000 100 0.5
0.1 0.8 OD 20000 1e-8 1e-7 0.1 0.05 0 320000 100 0.5
0.1 0.89 OD 2000 1e-8 1e-8 0.05 0.02 0 320000 100 0.2857143
0.1 0.89 OD 2000 1e-8 1e-8 0.05 0.02 0 160000 100 0.2857143
0.1 0.89 OD 2000 1e-8 1e-7 0.1 0.1 0 16000 100 0.5
0.1 0.89 OD 2000 1e-7 1e-7 0.5 1 0 160000 100 0.5
0.1 0.89 OD 2000 1e-7 1e-7 0.5 1 0 160000 100 0.3333333
0.1 0.89 OD 2000 1e-7 1e-7 0.1 0.2 0 160000 100 0.3333333
0.1 0.89 OD 2000 1e-7 1e-7 0.05 0.1 0 320000 100 0.3333333
0.1 0.89 OD 20000 1e-8 1e-7 0.2 0.2 0 320000 100 0.5
0.1 0.898989898989899 OD 2000 1e-8 1e-8 0.2 1 0 320000 99 0.1666667
0.1 0.898989898989899 OD 2000 1e-8 1e-8 0.02 0.05 0 160000 99 0.2857143
0.1 0.897435897435897 OD 2000 1e-8 1e-8 1 1 0 32000 78 0.5
0.1 0.88 OD 2000 1e-8 1e-8 0.05 0.02 0 320000 100 0.5
0.1 0.88 OD 2000 1e-7 1e-7 0.5 0.5 0 160000 100 0.5
